team,division,conference
BUF,atlantic,eastern
TBL,atlantic,eastern
MTL,atlantic,eastern
BOS,atlantic,eastern
OTT,atlantic,eastern
DET,atlantic,eastern
FLA,atlantic,eastern
TOR,atlantic,eastern
CAR,metropolitan,eastern
PIT,metropolitan,eastern
PHI,metropolitan,eastern
WSH,metropolitan,eastern
CBJ,metropolitan,eastern
NYI,metropolitan,eastern
NJD,metropolitan,eastern
NYR,metropolitan,eastern
COL,central,western
DAL,central,western
MIN,central,western
UTA,central,western
STL,central,western
NSH,central,western
WPG,central,western
CHI,central,western
VEG,pacific,western
EDM,pacific,western
ANA,pacific,western
LAK,pacific,western
SJS,pacific,western
SEA,pacific,western
CGY,pacific,western
VAN,pacific,western
ARI,central,western