name,pre_2000_pct,RW,reg_record,pct_reg,season
Carolina Hurricanes,0.64,39,39-22-21,0.604,2025_2026
Buffalo Sabres,0.585,42,42-23-17,0.616,2025_2026
Tampa Bay Lightning,0.598,40,40-26-16,0.585,2025_2026
Montreal Canadiens,0.591,34,34-24-24,0.561,2025_2026
Boston Bruins,0.543,33,33-27-22,0.537,2025_2026
Ottawa Senators,0.524,38,38-27-17,0.567,2025_2026
Philadelphia Flyers,0.488,27,27-27-28,0.5,2025_2026
Pittsburgh Penguins,0.543,34,34-25-23,0.555,2025_2026
Washington Capitals,0.549,37,37-30-15,0.543,2025_2026
Columbus Blue Jackets,0.457,28,28-30-24,0.488,2025_2026
Detroit Red Wings,0.512,30,30-31-21,0.494,2025_2026
New York Islanders,0.53,29,29-34-19,0.47,2025_2026
New Jersey Devils,0.494,29,29-37-16,0.451,2025_2026
Florida Panthers,0.47,32,32-38-12,0.463,2025_2026
Toronto Maple Leafs,0.409,23,23-36-23,0.421,2025_2026
New York Rangers,0.402,25,25-39-18,0.41,2025_2026
Colorado Avalanche,0.683,48,48-16-18,0.695,2025_2026
Dallas Stars,0.598,38,38-20-24,0.61,2025_2026
Minnesota Wild,0.567,31,31-24-27,0.543,2025_2026
Vegas Golden Knights,0.518,30,30-26-26,0.524,2025_2026
Edmonton Oilers,0.524,32,32-30-20,0.512,2025_2026
Utah Mammoth,0.524,33,33-33-16,0.5,2025_2026
Anaheim Ducks,0.476,26,26-33-23,0.457,2025_2026
Los Angeles Kings,0.451,22,22-27-33,0.47,2025_2026
St. Louis Blues,0.47,33,33-33-16,0.5,2025_2026
Nashville Predators,0.445,28,28-34-20,0.463,2025_2026
San Jose Sharks,0.476,27,27-35-20,0.451,2025_2026
Winnipeg Jets,0.439,28,28-35-19,0.457,2025_2026
Seattle Kraken,0.439,26,26-37-19,0.433,2025_2026
Calgary Flames,0.409,27,27-39-16,0.427,2025_2026
Chicago Blackhawks,0.366,22,22-39-21,0.396,2025_2026
Vancouver Canucks,0.28,15,15-49-18,0.293,2025_2026
Washington Capitals,0.628,43,43-22-17,0.628,2024_2025
Toronto Maple Leafs,0.64,41,41-26-15,0.591,2024_2025
Tampa Bay Lightning,0.579,41,41-27-14,0.585,2024_2025
Carolina Hurricanes,0.591,42,42-30-10,0.573,2024_2025
Florida Panthers,0.537,37,37-31-14,0.537,2024_2025
Ottawa Senators,0.555,35,35-30-17,0.53,2024_2025
Montreal Canadiens,0.5,30,30-31-21,0.494,2024_2025
New Jersey Devils,0.512,36,36-33-13,0.518,2024_2025
Columbus Blue Jackets,0.457,30,30-33-19,0.482,2024_2025
Detroit Red Wings,0.457,30,30-35-17,0.47,2024_2025
New York Rangers,0.47,35,35-36-11,0.494,2024_2025
New York Islanders,0.433,28,28-35-19,0.457,2024_2025
Pittsburgh Penguins,0.445,24,24-36-22,0.427,2024_2025
Buffalo Sabres,0.427,29,29-39-14,0.439,2024_2025
Boston Bruins,0.409,26,26-39-17,0.421,2024_2025
Philadelphia Flyers,0.384,21,21-39-22,0.39,2024_2025
Winnipeg Jets,0.677,43,43-22-17,0.628,2024_2025
Vegas Golden Knights,0.634,46,46-22-14,0.646,2024_2025
Dallas Stars,0.61,41,41-26-15,0.591,2024_2025
Los Angeles Kings,0.598,43,43-25-14,0.61,2024_2025
Colorado Avalanche,0.591,40,40-29-13,0.567,2024_2025
Edmonton Oilers,0.591,36,36-29-17,0.543,2024_2025
Minnesota Wild,0.549,33,33-30-19,0.518,2024_2025
St. Louis Blues,0.524,32,32-30-20,0.512,2024_2025
Calgary Flames,0.482,31,31-27-24,0.524,2024_2025
Vancouver Canucks,0.457,28,28-30-24,0.488,2024_2025
Utah Hockey Club,0.482,30,30-31-21,0.494,2024_2025
Anaheim Ducks,0.415,24,24-37-21,0.421,2024_2025
Seattle Kraken,0.433,28,28-41-13,0.421,2024_2025
Nashville Predators,0.354,24,24-44-14,0.378,2024_2025
Chicago Blackhawks,0.317,20,20-46-16,0.341,2024_2025
San Jose Sharks,0.262,14,14-50-18,0.28,2024_2025
New York Rangers,0.665,43,43-23-16,0.622,2023_2024
Carolina Hurricanes,0.652,44,44-23-15,0.628,2023_2024
Florida Panthers,0.628,42,42-24-16,0.61,2023_2024
Boston Bruins,0.567,36,36-20-26,0.598,2023_2024
Toronto Maple Leafs,0.543,33,33-26-23,0.543,2023_2024
Tampa Bay Lightning,0.537,37,37-29-16,0.549,2023_2024
New York Islanders,0.5,29,29-27-26,0.512,2023_2024
Detroit Red Wings,0.488,27,27-32-23,0.47,2023_2024
Washington Capitals,0.494,32,32-31-19,0.506,2023_2024
Pittsburgh Penguins,0.47,32,32-32-18,0.5,2023_2024
Philadelphia Flyers,0.457,30,30-33-19,0.482,2023_2024
Buffalo Sabres,0.47,33,33-37-12,0.476,2023_2024
New Jersey Devils,0.476,33,33-39-10,0.463,2023_2024
Ottawa Senators,0.421,25,25-41-16,0.402,2023_2024
Montreal Canadiens,0.39,20,20-36-26,0.402,2023_2024
Columbus Blue Jackets,0.323,21,21-43-18,0.366,2023_2024
Dallas Stars,0.622,40,40-21-21,0.616,2023_2024
Winnipeg Jets,0.64,46,46-24-12,0.634,2023_2024
Vancouver Canucks,0.622,44,44-23-15,0.628,2023_2024
Colorado Avalanche,0.61,42,42-25-15,0.604,2023_2024
Edmonton Oilers,0.591,39,39-27-16,0.573,2023_2024
Nashville Predators,0.555,38,38-30-14,0.549,2023_2024
Los Angeles Kings,0.555,37,37-27-18,0.561,2023_2024
Vegas Golden Knights,0.537,34,34-29-19,0.53,2023_2024
St. Louis Blues,0.506,31,31-33-18,0.488,2023_2024
Minnesota Wild,0.476,32,32-33-17,0.494,2023_2024
Calgary Flames,0.488,32,32-39-11,0.457,2023_2024
Seattle Kraken,0.421,28,28-35-19,0.457,2023_2024
Arizona Coyotes,0.427,28,28-41-13,0.421,2023_2024
Anaheim Ducks,0.335,21,21-50-11,0.323,2023_2024
Chicago Blackhawks,0.28,17,17-53-12,0.28,2023_2024
San Jose Sharks,0.256,14,14-54-14,0.256,2023_2024
Boston Bruins,0.787,54,54-12-16,0.756,2022_2023
Carolina Hurricanes,0.628,39,39-21-22,0.61,2022_2023
New Jersey Devils,0.646,39,39-22-21,0.604,2022_2023
Toronto Maple Leafs,0.616,42,42-21-19,0.628,2022_2023
New York Rangers,0.567,37,37-22-23,0.591,2022_2023
Tampa Bay Lightning,0.555,38,38-30-14,0.549,2022_2023
New York Islanders,0.537,36,36-31-15,0.53,2022_2023
Florida Panthers,0.506,36,36-32-14,0.524,2022_2023
Buffalo Sabres,0.512,30,30-33-19,0.482,2022_2023
Pittsburgh Penguins,0.488,31,31-31-20,0.5,2022_2023
Ottawa Senators,0.47,31,31-35-16,0.476,2022_2023
Detroit Red Wings,0.433,28,28-37-17,0.445,2022_2023
Washington Capitals,0.439,27,27-37-18,0.439,2022_2023
Philadelphia Flyers,0.372,26,26-38-18,0.427,2022_2023
Montreal Canadiens,0.36,21,21-45-16,0.354,2022_2023
Columbus Blue Jackets,0.305,15,15-48-19,0.299,2022_2023
Vegas Golden Knights,0.616,38,38-22-22,0.598,2022_2023
Colorado Avalanche,0.604,36,36-24-22,0.573,2022_2023
Edmonton Oilers,0.634,45,45-23-14,0.634,2022_2023
Dallas Stars,0.567,39,39-21-22,0.61,2022_2023
Los Angeles Kings,0.555,37,37-25-20,0.573,2022_2023
Minnesota Wild,0.555,34,34-25-23,0.555,2022_2023
Seattle Kraken,0.585,37,37-28-17,0.555,2022_2023
Winnipeg Jets,0.561,36,36-33-13,0.518,2022_2023
Calgary Flames,0.482,31,31-27-24,0.524,2022_2023
Nashville Predators,0.488,29,29-32-21,0.482,2022_2023
Vancouver Canucks,0.439,24,24-37-21,0.421,2022_2023
St. Louis Blues,0.451,27,27-38-17,0.433,2022_2023
Arizona Coyotes,0.348,20,20-40-22,0.378,2022_2023
San Jose Sharks,0.299,16,16-44-22,0.329,2022_2023
Chicago Blackhawks,0.317,18,18-49-15,0.311,2022_2023
Anaheim Ducks,0.28,13,13-47-22,0.293,2022_2023
Florida Panthers,0.713,42,42-18-22,0.646,2022_2021
Carolina Hurricanes,0.665,47,47-20-15,0.665,2022_2021
Toronto Maple Leafs,0.646,45,45-21-16,0.646,2022_2021
Tampa Bay Lightning,0.64,39,39-23-20,0.598,2022_2021
New York Rangers,0.628,44,44-24-14,0.622,2022_2021
Boston Bruins,0.622,40,40-26-16,0.585,2022_2021
Pittsburgh Penguins,0.585,37,37-25-20,0.573,2022_2021
Washington Capitals,0.524,35,35-26-21,0.555,2022_2021
New York Islanders,0.476,34,34-35-13,0.494,2022_2021
Columbus Blue Jackets,0.445,26,26-38-18,0.427,2022_2021
Buffalo Sabres,0.39,25,25-39-18,0.415,2022_2021
Detroit Red Wings,0.384,21,21-40-21,0.384,2022_2021
Ottawa Senators,0.396,26,26-42-14,0.402,2022_2021
New Jersey Devils,0.341,19,19-46-17,0.335,2022_2021
Philadelphia Flyers,0.323,20,20-46-16,0.341,2022_2021
Montreal Canadiens,0.262,16,16-49-17,0.299,2022_2021
Colorado Avalanche,0.671,46,46-19-17,0.665,2022_2021
Minnesota Wild,0.64,37,37-22-23,0.591,2022_2021
Calgary Flames,0.61,44,44-21-17,0.64,2022_2021
St. Louis Blues,0.604,43,43-22-17,0.628,2022_2021
Edmonton Oilers,0.573,38,38-27-17,0.567,2022_2021
Los Angeles Kings,0.537,35,35-27-20,0.549,2022_2021
Dallas Stars,0.543,31,31-30-21,0.506,2022_2021
Nashville Predators,0.537,35,35-30-17,0.53,2022_2021
Vegas Golden Knights,0.524,34,34-31-17,0.518,2022_2021
Vancouver Canucks,0.5,32,32-30-20,0.512,2022_2021
Winnipeg Jets,0.488,32,32-32-18,0.5,2022_2021
San Jose Sharks,0.39,22,22-37-23,0.409,2022_2021
Anaheim Ducks,0.384,22,22-37-23,0.409,2022_2021
Chicago Blackhawks,0.317,16,16-42-24,0.341,2022_2021
Seattle Kraken,0.317,23,23-49-10,0.341,2022_2021
Arizona Coyotes,0.323,18,18-50-14,0.305,2022_2021