,,,,,,,,,,,,,,,Per_game,Per_game,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Shot Data,Shot Data,Shot Data,Shot Data,
Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Colorado Avalanche*,30.7,82,55,16,11,121,.738,298,197,4,6,1.14,-0.07,3.63,2.40,45,263,17.11,36,234,84.62,2,13,7.3,8.0,2766,10.8,2144,.908,8
2,Carolina Hurricanes*,29.4,82,53,22,7,113,.689,291,236,5,4,0.69,0.01,3.55,2.88,60,241,24.90,45,231,80.52,12,4,7.8,8.0,2637,11.0,1961,.880,3
3,Dallas Stars*,28.7,82,50,20,12,112,.683,273,222,6,4,0.61,-0.04,3.33,2.71,71,248,28.63,49,249,80.32,4,7,8.6,8.4,2074,13.2,2145,.897,5
4,Buffalo Sabres*,26.8,82,50,23,9,109,.665,283,240,5,1,0.59,0.02,3.45,2.93,48,246,19.51,42,232,81.90,11,6,9.7,10.1,2307,12.3,2381,.899,5
5,Tampa Bay Lightning*,30.0,82,50,26,6,106,.646,286,229,4,2,0.73,0.01,3.49,2.79,51,246,20.73,45,258,82.56,6,6,14.7,13.7,2305,12.4,2188,.895,2
6,Montreal Canadiens*,26.2,82,48,24,10,106,.646,279,251,4,5,0.37,0.04,3.40,3.06,56,242,23.14,54,248,78.23,8,4,10.4,10.8,2156,12.9,2283,.890,1
7,Minnesota Wild*,29.2,82,46,24,12,104,.634,268,235,4,5,0.35,-0.04,3.27,2.87,65,258,25.19,43,213,79.81,7,4,7.9,9.2,2393,11.2,2410,.902,8
8,Boston Bruins*,28.5,82,45,27,10,100,.610,268,247,4,3,0.31,0.04,3.27,3.01,55,235,23.40,64,278,76.98,2,9,11.9,10.5,2216,12.1,2435,.899,3
9,Ottawa Senators*,28.9,82,44,27,11,99,.604,275,245,3,1,0.40,0.01,3.35,2.99,63,263,23.95,57,236,75.85,8,6,9.6,10.2,2369,11.6,2001,.878,4
10,Pittsburgh Penguins*,30.2,82,41,25,16,98,.598,290,258,3,10,0.33,0.03,3.54,3.15,56,232,24.14,44,237,81.43,6,12,8.1,8.4,2342,12.4,2246,.885,4
11,Philadelphia Flyers*,27.7,82,43,27,12,98,.598,240,239,10,4,0.13,0.04,2.93,2.91,37,235,15.74,55,245,77.55,7,9,9.6,9.6,2088,11.5,2087,.885,0
12,Washington Capitals,29.3,82,43,30,9,95,.579,261,238,2,6,0.25,0.02,3.18,2.90,43,241,17.84,50,252,80.16,4,11,9.5,9.1,2299,11.4,2307,.897,5
13,Vegas Golden Knights*,29.5,82,39,26,17,95,.579,264,242,1,8,0.13,-0.06,3.22,2.95,58,237,24.47,38,204,81.37,6,6,7.4,8.1,2377,11.1,1999,.879,3
14,Edmonton Oilers*,29.7,82,41,30,11,93,.567,282,265,0,4,0.09,-0.07,3.44,3.23,68,222,30.63,49,221,77.83,6,7,9.1,9.5,2439,11.6,2188,.879,5
15,Anaheim Ducks*,27.7,82,43,33,6,92,.561,265,288,8,0,-0.24,-0.06,3.23,3.51,49,264,18.56,61,258,76.36,8,6,9.9,10.3,2526,10.5,2326,.876,0
16,Detroit Red Wings,29.1,82,41,31,10,92,.561,239,254,2,4,-0.16,0.05,2.91,3.10,56,248,22.58,48,210,77.14,3,5,7.7,9.2,2315,10.3,2275,.888,5
17,Columbus Blue Jackets,28.0,82,40,30,12,92,.561,246,251,7,2,0.04,0.04,3.00,3.06,38,201,18.91,53,221,76.02,5,5,8.0,7.3,2410,10.2,2363,.894,3
18,Utah Mammoth*,28.9,82,43,33,6,92,.561,268,240,0,0,0.30,-0.04,3.27,2.93,46,230,20.00,54,247,78.14,8,3,9.5,9.4,2274,11.8,2141,.888,3
19,New York Islanders,29.6,82,43,34,5,91,.555,229,236,4,5,-0.06,0.03,2.79,2.88,40,242,16.53,41,214,80.84,9,9,7.8,8.5,2310,9.9,2270,.896,9
20,Los Angeles Kings*,31.1,82,35,27,20,90,.549,220,238,5,9,-0.32,-0.05,2.68,2.90,38,224,16.96,61,240,74.58,7,7,8.2,7.9,2297,9.6,2228,.893,6
21,New Jersey Devils,29.7,82,42,37,3,87,.530,226,253,4,1,-0.24,0.06,2.76,3.09,45,205,21.95,43,208,79.33,7,4,7.5,7.4,2426,9.3,2244,.887,2
22,Nashville Predators,29.8,82,38,34,10,86,.524,242,267,5,2,-0.28,-0.01,2.95,3.26,55,238,23.11,45,246,81.71,8,2,8.8,8.3,2285,10.6,2430,.890,1
23,San Jose Sharks,27.3,82,39,35,8,86,.524,249,290,2,2,-0.53,-0.03,3.04,3.54,54,255,21.18,58,246,76.42,3,8,8.8,8.3,2111,11.8,2431,.881,0
24,St. Louis Blues,28.3,82,37,33,12,86,.524,230,254,1,4,-0.35,-0.02,2.80,3.10,38,216,17.59,52,222,76.58,6,4,7.9,7.9,2075,11.1,2272,.888,7
25,Florida Panthers,30.2,82,40,38,4,84,.512,246,274,5,2,-0.25,0.05,3.00,3.34,52,265,19.62,52,273,80.95,6,7,11.2,11.6,2292,10.7,2197,.875,4
26,Winnipeg Jets,30.8,82,35,35,12,82,.500,229,256,2,4,-0.36,-0.01,2.79,3.12,42,227,18.50,51,228,77.63,6,5,8.0,7.8,2162,10.6,2277,.888,0
27,Seattle Kraken,29.2,82,34,37,11,79,.482,224,257,2,6,-0.48,-0.03,2.73,3.13,43,221,19.46,60,216,72.22,2,7,7.5,7.9,2099,10.7,2415,.894,2
28,Toronto Maple Leafs,29.5,82,32,36,14,78,.476,252,295,1,4,-0.50,0.06,3.07,3.60,42,197,21.32,43,229,81.22,6,7,9.2,8.0,2159,11.7,2660,.889,3
29,Calgary Flames,28.2,82,34,39,9,77,.470,208,256,4,3,-0.59,-0.02,2.54,3.12,37,229,16.16,48,245,80.41,11,4,10.6,9.9,2305,9.0,2453,.896,2
30,New York Rangers,29.2,82,34,39,9,77,.470,235,249,3,1,-0.10,0.05,2.87,3.04,53,215,24.65,50,249,79.92,6,9,8.1,7.3,2066,11.4,2363,.895,3
31,Chicago Blackhawks,26.3,82,29,39,14,72,.439,210,270,3,5,-0.76,-0.01,2.56,3.29,40,236,16.95,39,238,83.61,6,3,8.7,8.5,2015,10.4,2457,.890,5
32,Vancouver Canucks,28.0,82,25,49,8,58,.354,210,314,6,2,-1.22,0.00,2.56,3.83,51,234,21.79,65,228,71.49,9,6,8.6,8.7,2128,9.9,2446,.872,2
,League Average,28.9,82,41,31,10,92,.562,253,253,,,,,,,50,236,21.11,50,236,78.89,6,6,9.0,9.0,2282,11.1,2282,.889,4